ID_DEPTO;DEPARTAMENTO;ID_MPIO;MUNICIPIO;MÉTODO;FASE;"TRANSMITIDAS
15;BOYACÁ;15837;TUTA;BARRIDO;3;1065;1254;84,93%;SI;;;
15;BOYACÁ;15690;SANTA MARÍA;BARRIDO;3;429;505;84,95%;SI;;;
25;CUNDINAMARCA;25224;CUCUNUBÁ;BARRIDO;2;465;547;85,01%;SI;;;
15;BOYACÁ;15176;CHIQUINQUIRÁ;BARRIDO;3;5609;6597;85,02%;SI;;;
05;ANTIOQUIA;5501;OLAYA;BARRIDO;2;530;623;85,07%;SI;;;
25;CUNDINAMARCA;25592;QUEBRADANEGRA;BARRIDO;2;308;362;85,08%;SI;;;
76;VALLE DEL CAUCA;76233;DAGUA;MIXTO;2;937;1101;85,10%;SI;;;
19;CAUCA;19256;EL TAMBO;MIXTO;3;3433;4033;85,12%;SI;;;
76;VALLE DEL CAUCA;76845;ULLOA;BARRIDO;2;708;831;85,20%;SI;;;
05;ANTIOQUIA;5138;CAÑASGORDAS;BARRIDO;2;2507;2941;85,24%;SI;;;
85;CASANARE;85162;MONTERREY;BARRIDO;3;2311;2711;85,25%;SI;;;
17;CALDAS;17050;ARANZAZU;BARRIDO;3;677;794;85,26%;SI;;;
05;ANTIOQUIA;5031;AMALFI;BARRIDO;2;1796;2106;85,28%;SI;;;
05;ANTIOQUIA;5147;CAREPA;BARRIDO;2;3090;3623;85,29%;SI;;;
05;ANTIOQUIA;5809;TITIRIBÍ;BARRIDO;2;1952;2288;85,31%;SI;;;
68;SANTANDER;68101;BOLÍVAR;BARRIDO;2;889;1042;85,32%;SI;;;
05;ANTIOQUIA;5674;SAN VICENTE FERRER;BARRIDO;2;939;1100;85,36%;SI;;;
73;TOLIMA;73030;AMBALEMA;BARRIDO;3;914;1070;85,42%;SI;;;
54;NORTE DE SANTANDER;54206;CONVENCIÓN;MIXTO;2;1074;1257;85,44%;SI;;;
54;NORTE DE SANTANDER;54520;PAMPLONITA;BARRIDO;2;349;408;85,54%;SI;;;
25;CUNDINAMARCA;25506;VENECIA;BARRIDO;2;729;852;85,56%;SI;;;
05;ANTIOQUIA;5440;MARINILLA;BARRIDO;2;1591;1857;85,68%;SI;;;
50;META;50287;FUENTE DE ORO;BARRIDO;3;856;999;85,69%;SI;;;
15;BOYACÁ;15377;LABRANZAGRANDE;BARRIDO;3;481;561;85,74%;SI;;;
68;SANTANDER;68162;CERRITO;BARRIDO;2;1217;1419;85,76%;SI;;;
17;CALDAS;17513;PÁCORA;BARRIDO;3;1308;1525;85,77%;SI;;;
73;TOLIMA;73347;HERVEO;BARRIDO;3;971;1132;85,78%;SI;;;
68;SANTANDER;68669;SAN ANDRÉS;BARRIDO;2;1006;1171;85,91%;SI;;;
54;NORTE DE SANTANDER;54660;SALAZAR;BARRIDO;2;1477;1719;85,92%;SI;;;
25;CUNDINAMARCA;25290;FUSAGASUGÁ;BARRIDO;2;11863;13800;85,96%;SI;;;
05;ANTIOQUIA;5306;GIRALDO;BARRIDO;2;601;699;85,98%;SI;;;
19;CAUCA;19392;LA SIERRA;BARRIDO;3;640;744;86,02%;SI;;;
68;SANTANDER;68051;ARATOCA;BARRIDO;2;1034;1202;86,02%;SI;;;
73;TOLIMA;73686;SANTA ISABEL;BARRIDO;3;669;777;86,10%;SI;;;
68;SANTANDER;68397;LA PAZ;BARRIDO;2;465;540;86,11%;SI;;;
68;SANTANDER;68533;PÁRAMO;BARRIDO;2;987;1146;86,13%;SI;;;
05;ANTIOQUIA;5490;NECOCLÍ;BARRIDO;2;1268;1472;86,14%;SI;;;
54;NORTE DE SANTANDER;54344;HACARÍ;BARRIDO;2;687;797;86,20%;SI;;;
15;BOYACÁ;15897;ZETAQUIRA;BARRIDO;3;356;413;86,20%;SI;;;
05;ANTIOQUIA;5282;FREDONIA;BARRIDO;2;2563;2968;86,35%;SI;;;
20;CESAR;20550;PELAYA;BARRIDO;3;1184;1371;86,36%;SI;;;
05;ANTIOQUIA;5467;MONTEBELLO;BARRIDO;2;887;1027;86,37%;SI;;;
05;ANTIOQUIA;5004;ABRIAQUÍ;BARRIDO;2;602;697;86,37%;SI;;;
17;CALDAS;17272;FILADELFIA;BARRIDO;3;1065;1233;86,37%;SI;;;
85;CASANARE;85225;NUNCHÍA;BARRIDO;3;966;1118;86,40%;SI;;;
68;SANTANDER;68444;MATANZA;BARRIDO;2;617;714;86,41%;SI;;;
41;HUILA;41660;SALADOBLANCO;BARRIDO;3;606;701;86,45%;SI;;;
25;CUNDINAMARCA;25841;UBAQUE;BARRIDO;2;710;821;86,48%;SI;;;
05;ANTIOQUIA;5789;TÁMESIS;BARRIDO;2;2604;3009;86,54%;SI;;;
17;CALDAS;17486;NEIRA;BARRIDO;3;1627;1880;86,54%;SI;;;
05;ANTIOQUIA;5576;PUEBLORRICO;BARRIDO;2;1633;1886;86,59%;SI;;;
41;HUILA;41615;RIVERA;BARRIDO;3;1458;1683;86,63%;SI;;;
18;CAQUETÁ;18205;CURILLO;MIXTO;3;1215;1402;86,66%;SI;;;
05;ANTIOQUIA;5686;SANTA ROSA DE OSOS;BARRIDO;2;718;828;86,71%;SI;;;
68;SANTANDER;68745;SIMACOTA;BARRIDO;2;970;1118;86,76%;SI;;;
68;SANTANDER;68500;OIBA;BARRIDO;2;1770;2040;86,76%;SI;;;
68;SANTANDER;68266;ENCISO;BARRIDO;2;619;713;86,82%;SI;;;
25;CUNDINAMARCA;25823;TOPAIPÍ;BARRIDO;2;567;653;86,83%;SI;;;
68;SANTANDER;68720;SANTA HELENA DEL OPÓN;BARRIDO;2;185;213;86,85%;SI;;;
25;CUNDINAMARCA;25873;VILLAPINZÓN;BARRIDO;2;1462;1683;86,87%;SI;;;
25;CUNDINAMARCA;25572;PUERTO SALGAR;BARRIDO;2;1687;1942;86,87%;SI;;;
54;NORTE DE SANTANDER;54800;TEORAMA;MIXTO;2;675;777;86,87%;SI;;;
86;PUTUMAYO;86755;SAN FRANCISCO;BARRIDO;3;556;640;86,88%;SI;;;
66;RISARALDA;66687;SANTUARIO;BARRIDO;3;983;1131;86,91%;SI;;;
50;META;50245;EL CALVARIO;BARRIDO;2;226;260;86,92%;SI;;;
05;ANTIOQUIA;5697;EL SANTUARIO;BARRIDO;2;1651;1899;86,94%;SI;;;
05;ANTIOQUIA;5120;CÁCERES;BARRIDO;2;1758;2022;86,94%;SI;;;
05;ANTIOQUIA;5086;BELMIRA;BARRIDO;2;581;668;86,98%;SI;;;
25;CUNDINAMARCA;25851;ÚTICA;BARRIDO;2;942;1083;86,98%;SI;;;
70;SUCRE;70233;EL ROBLE;BARRIDO;3;1125;1293;87,01%;SI;;;
68;SANTANDER;68872;VILLANUEVA;BARRIDO;2;1717;1973;87,02%;SI;;;
05;ANTIOQUIA;5154;CAUCASIA;BARRIDO;2;9123;10482;87,03%;SI;;;
73;TOLIMA;73671;SALDAÑA;BARRIDO;3;1223;1405;87,05%;SI;;;
50;META;50711;VISTAHERMOSA;MIXTO;3;814;935;87,06%;SI;;;
50;META;50683;SAN JUAN DE ARAMA;BARRIDO;3;1044;1199;87,07%;SI;;;
73;TOLIMA;73678;SAN LUIS;BARRIDO;3;1595;1831;87,11%;SI;;;
25;CUNDINAMARCA;25779;SUSA;BARRIDO;2;1095;1257;87,11%;SI;;;
05;ANTIOQUIA;5030;AMAGÁ;BARRIDO;2;2004;2299;87,17%;SI;;;
54;NORTE DE SANTANDER;54385;LA ESPERANZA;BARRIDO;2;897;1029;87,17%;SI;;;
05;ANTIOQUIA;5660;SAN LUIS;BARRIDO;2;2200;2522;87,23%;SI;;;
15;BOYACÁ;15518;PAJARITO;BARRIDO;3;233;267;87,27%;SI;;;
15;BOYACÁ;15810;TIPACOQUE;BARRIDO;3;516;591;87,31%;SI;;;
54;NORTE DE SANTANDER;54498;OCAÑA;BARRIDO;2;6643;7606;87,34%;SI;;;
15;BOYACÁ;15476;MOTAVITA;BARRIDO;3;518;593;87,35%;SI;;;
73;TOLIMA;73770;SUÁREZ;BARRIDO;3;181;207;87,44%;SI;;;
25;CUNDINAMARCA;25649;SAN BERNARDO;BARRIDO;2;817;934;87,47%;SI;;;
68;SANTANDER;68013;AGUADA;BARRIDO;2;91;104;87,50%;SI;;;
05;ANTIOQUIA;5190;CISNEROS;BARRIDO;2;1605;1833;87,56%;SI;;;
05;ANTIOQUIA;5051;ARBOLETES;BARRIDO;2;1591;1817;87,56%;SI;;;
05;ANTIOQUIA;5847;URRAO;MIXTO;2;3423;3909;87,57%;SI;;;
15;BOYACÁ;15516;PAIPA;BARRIDO;3;2974;3396;87,57%;SI;;;
19;CAUCA;19022;ALMAGUER;BARRIDO;3;1389;1586;87,58%;SI;;;
41;HUILA;41530;PALESTINA;BARRIDO;3;854;975;87,59%;SI;;;
05;ANTIOQUIA;5656;SAN JERÓNIMO;BARRIDO;2;2111;2410;87,59%;SI;;;
25;CUNDINAMARCA;25398;LA PEÑA;BARRIDO;2;660;753;87,65%;SI;;;
23;CÓRDOBA;23419;LOS CÓRDOBAS;BARRIDO;3;444;506;87,75%;SI;;;
15;BOYACÁ;15832;TUNUNGUÁ;BARRIDO;3;237;270;87,78%;SI;;;
25;CUNDINAMARCA;25053;ARBELÁEZ;BARRIDO;2;1157;1318;87,78%;SI;;;
52;NARIÑO;52885;YACUANQUER;BARRIDO;3;259;295;87,80%;SI;;;
05;ANTIOQUIA;5890;YOLOMBÓ;BARRIDO;2;1981;2256;87,81%;SI;;;
05;ANTIOQUIA;5021;ALEJANDRÍA;BARRIDO;2;1131;1287;87,88%;SI;;;
68;SANTANDER;68077;BARBOSA;BARRIDO;2;3447;3922;87,89%;SI;;;
15;BOYACÁ;15693;SANTA ROSA DE VITERBO;BARRIDO;3;1981;2253;87,93%;SI;;;
05;ANTIOQUIA;5591;PUERTO TRIUNFO;BARRIDO;2;1291;1468;87,94%;SI;;;
25;CUNDINAMARCA;25845;UNE;BARRIDO;2;1121;1274;87,99%;SI;;;
50;META;50370;URIBE;MIXTO;3;676;768;88,02%;SI;;;
54;NORTE DE SANTANDER;54599;RAGONVALIA;BARRIDO;2;1264;1435;88,08%;SI;;;
25;CUNDINAMARCA;25324;GUATAQUÍ;BARRIDO;2;646;733;88,13%;SI;;;
05;ANTIOQUIA;5038;ANGOSTURA;BARRIDO;2;1041;1181;88,15%;SI;;;
18;CAQUETÁ;18247;EL DONCELLO;BARRIDO;3;2451;2780;88,17%;SI;;;
19;CAUCA;19142;CALOTO;BARRIDO;3;1044;1184;88,18%;SI;;;
44;LA GUAJIRA;44078;BARRANCAS;BARRIDO;3;1663;1886;88,18%;SI;;;
41;HUILA;41676;SANTA MARÍA;BARRIDO;3;1293;1466;88,20%;SI;;;
85;CASANARE;85136;LA SALINA;BARRIDO;3;202;229;88,21%;SI;;;
68;SANTANDER;68245;EL GUACAMAYO;BARRIDO;2;315;357;88,24%;SI;;;
15;BOYACÁ;15322;GUATEQUE;BARRIDO;3;1126;1276;88,24%;SI;;;
15;BOYACÁ;15401;LA VICTORIA;BARRIDO;3;287;325;88,31%;SI;;;
68;SANTANDER;68524;PALMAS DEL SOCORRO;BARRIDO;2;121;137;88,32%;SI;;;
25;CUNDINAMARCA;25518;PAIME;BARRIDO;2;712;806;88,34%;SI;;;
68;SANTANDER;68147;CAPITANEJO;BARRIDO;2;1444;1634;88,37%;SI;;;
41;HUILA;41020;ALGECIRAS;BARRIDO;3;1135;1284;88,40%;SI;;;
68;SANTANDER;68861;VÉLEZ;BARRIDO;2;2581;2918;88,45%;SI;;;
13;BOLÍVAR;13836;TURBACO;BARRIDO;2;6408;7244;88,46%;SI;;;
25;CUNDINAMARCA;25040;ANOLAIMA;BARRIDO;2;2321;2622;88,52%;SI;;;
54;NORTE DE SANTANDER;54239;DURANIA;BARRIDO;2;997;1126;88,54%;SI;;;
15;BOYACÁ;15759;SOGAMOSO;BARRIDO;3;5631;6354;88,62%;SI;;;
63;QUINDIO;63548;PIJAO;BARRIDO;3;867;978;88,65%;SI;;;
05;ANTIOQUIA;5101;CIUDAD BOLÍVAR;BARRIDO;2;2748;3099;88,67%;SI;;;
68;SANTANDER;68679;SAN GIL;BARRIDO;2;6172;6960;88,68%;SI;;;
41;HUILA;41013;AGRADO;BARRIDO;3;905;1020;88,73%;SI;;;
68;SANTANDER;68855;VALLE DE SAN JOSÉ;BARRIDO;2;1158;1305;88,74%;SI;;;
05;ANTIOQUIA;5885;YALÍ;BARRIDO;2;879;990;88,79%;SI;;;
25;CUNDINAMARCA;25168;CHAGUANÍ;BARRIDO;2;604;680;88,82%;SI;;;
54;NORTE DE SANTANDER;54398;LA PLAYA;BARRIDO;2;684;770;88,83%;SI;;;
15;BOYACÁ;15806;TIBASOSA;BARRIDO;3;1481;1667;88,84%;SI;;;
50;META;50124;CABUYARO;BARRIDO;3;255;287;88,85%;SI;;;
85;CASANARE;85125;HATO COROZAL;MIXTO;3;526;592;88,85%;SI;;;
54;NORTE DE SANTANDER;54313;GRAMALOTE;BARRIDO;2;694;781;88,86%;SI;;;
17;CALDAS;17442;MARMATO;BARRIDO;3;24;27;88,89%;NO;;;
17;CALDAS;17665;SAN JOSÉ;BARRIDO;3;659;741;88,93%;SI;;;
19;CAUCA;19622;ROSAS;BARRIDO;3;1433;1611;88,95%;SI;;;
68;SANTANDER;68572;PUENTE NACIONAL;BARRIDO;2;2079;2337;88,96%;SI;;;
19;CAUCA;19075;BALBOA;BARRIDO;3;1991;2238;88,96%;SI;;;
05;ANTIOQUIA;5361;ITUANGO;MIXTO;2;2595;2916;88,99%;SI;;;
05;ANTIOQUIA;5034;ANDES;BARRIDO;2;3868;4346;89,00%;SI;;;
25;CUNDINAMARCA;25377;LA CALERA;BARRIDO;2;1280;1438;89,01%;SI;;;
05;ANTIOQUIA;5647;SAN ANDRÉS DE CUERQUÍA;BARRIDO;2;114;128;89,06%;SI;;;
76;VALLE DEL CAUCA;76890;YOTOCO;BARRIDO;2;57;64;89,06%;SI;;;
50;META;50006;ACACÍAS;BARRIDO;3;5785;6493;89,10%;SI;;;
68;SANTANDER;68770;SUAITA;BARRIDO;2;1353;1517;89,19%;SI;;;
41;HUILA;41078;BARAYA;BARRIDO;3;1016;1138;89,28%;SI;;;
05;ANTIOQUIA;5308;GIRARDOTA;BARRIDO;2;3601;4033;89,29%;SI;;;
15;BOYACÁ;15600;RÁQUIRA;BARRIDO;3;509;570;89,30%;SI;;;
05;ANTIOQUIA;5792;TARSO;BARRIDO;2;652;730;89,32%;SI;;;
17;CALDAS;17614;RIOSUCIO;MIXTO;3;510;571;89,32%;SI;;;
41;HUILA;41872;VILLAVIEJA;BARRIDO;3;649;726;89,39%;SI;;;
15;BOYACÁ;15380;LA CAPILLA;BARRIDO;3;364;407;89,43%;SI;;;
25;CUNDINAMARCA;25871;VILLAGÓMEZ;BARRIDO;2;195;218;89,45%;SI;;;
63;QUINDIO;63111;BUENAVISTA;BARRIDO;3;484;541;89,46%;SI;;;
86;PUTUMAYO;86865;VALLE DEL GUAMUEZ;BARRIDO;3;1473;1646;89,49%;SI;;;
73;TOLIMA;73043;ANZOÁTEGUI;BARRIDO;3;980;1095;89,50%;SI;;;
41;HUILA;41548;PITAL;BARRIDO;3;1143;1276;89,58%;SI;;;
70;SUCRE;70523;PALMITO;BARRIDO;3;1507;1682;89,60%;SI;;;
13;BOLÍVAR;13030;ALTOS DEL ROSARIO;BARRIDO;2;346;386;89,64%;SI;;;
54;NORTE DE SANTANDER;54405;LOS PATIOS;BARRIDO;2;5512;6149;89,64%;SI;;;
70;SUCRE;70418;LOS PALMITOS;BARRIDO;3;2230;2487;89,67%;SI;;;
17;CALDAS;17042;ANSERMA;BARRIDO;3;2352;2622;89,70%;SI;;;
86;PUTUMAYO;86569;PUERTO CAICEDO;MIXTO;3;819;913;89,70%;SI;;;
05;ANTIOQUIA;5209;CONCORDIA;BARRIDO;2;2445;2725;89,72%;SI;;;
05;ANTIOQUIA;5400;LA UNIÓN;BARRIDO;2;1895;2111;89,77%;SI;;;
05;ANTIOQUIA;5480;MUTATÁ;BARRIDO;2;1444;1608;89,80%;SI;;;
86;PUTUMAYO;86757;SAN MIGUEL;BARRIDO;3;776;864;89,81%;SI;;;
41;HUILA;41885;YAGUARÁ;BARRIDO;3;795;885;89,83%;SI;;;
81;ARAUCA;81794;TAME;MIXTO;3;4620;5130;90,06%;SI;;;
13;BOLÍVAR;13810;TIQUISIO;BARRIDO;2;1173;1302;90,09%;SI;;;
19;CAUCA;19548;PIENDAMÓ;BARRIDO;3;3118;3459;90,14%;SI;;;
25;CUNDINAMARCA;25335;GUAYABETAL;BARRIDO;2;933;1035;90,14%;SI;;;
17;CALDAS;17877;VITERBO;BARRIDO;3;753;835;90,18%;SI;;;
85;CASANARE;85279;RECETOR;BARRIDO;3;92;102;90,20%;SI;;;
15;BOYACÁ;15425;MACANAL;BARRIDO;3;499;553;90,24%;SI;;;
68;SANTANDER;68755;SOCORRO;BARRIDO;2;3439;3811;90,24%;SI;;;
73;TOLIMA;73443;SAN SEBASTIÁN DE MARIQUITA;BARRIDO;3;2816;3120;90,26%;SI;;;
23;CÓRDOBA;23466;MONTELÍBANO;BARRIDO;3;1806;2000;90,30%;SI;;;
05;ANTIOQUIA;5837;TURBO;BARRIDO;2;2202;2437;90,36%;SI;;;
25;CUNDINAMARCA;25718;SASAIMA;BARRIDO;2;984;1089;90,36%;SI;;;
66;RISARALDA;66075;BALBOA;BARRIDO;3;778;861;90,36%;SI;;;
05;ANTIOQUIA;5079;BARBOSA;BARRIDO;2;3452;3820;90,37%;SI;;;
54;NORTE DE SANTANDER;54874;VILLA DEL ROSARIO;BARRIDO;2;7332;8112;90,38%;SI;;;
73;TOLIMA;73624;ROVIRA;BARRIDO;3;1329;1470;90,41%;SI;;;
05;ANTIOQUIA;5579;PUERTO BERRÍO;BARRIDO;2;3973;4394;90,42%;SI;;;
54;NORTE DE SANTANDER;54720;SARDINATA;BARRIDO;2;3121;3451;90,44%;SI;;;
86;PUTUMAYO;86885;VILLAGARZÓN;BARRIDO;3;1217;1344;90,55%;SI;;;
05;ANTIOQUIA;5353;HISPANIA;BARRIDO;2;931;1028;90,56%;SI;;;
76;VALLE DEL CAUCA;76054;ARGELIA;BARRIDO;2;645;712;90,59%;SI;;;
15;BOYACÁ;15820;TÓPAGA;BARRIDO;3;455;502;90,64%;SI;;;
25;CUNDINAMARCA;25596;QUIPILE;BARRIDO;2;649;716;90,64%;SI;;;
25;CUNDINAMARCA;25867;VIANÍ;BARRIDO;2;507;559;90,70%;SI;;;
15;BOYACÁ;15572;PUERTO BOYACÁ;BARRIDO;3;2500;2755;90,74%;SI;;;
76;VALLE DEL CAUCA;76246;EL CAIRO;BARRIDO;2;383;422;90,76%;SI;;;
20;CESAR;20060;BOSCONIA;BARRIDO;3;2446;2695;90,76%;SI;;;
41;HUILA;41503;OPORAPA;BARRIDO;3;925;1019;90,78%;SI;;;
63;QUINDIO;63690;SALENTO;BARRIDO;3;712;784;90,82%;SI;;;
15;BOYACÁ;15238;DUITAMA;BARRIDO;3;8303;9142;90,82%;SI;;;
70;SUCRE;70708;SAN MARCOS;BARRIDO;3;4179;4598;90,89%;SI;;;
13;BOLÍVAR;13188;CICUCO;BARRIDO;2;920;1012;90,91%;SI;;;
25;CUNDINAMARCA;25181;CHOACHÍ;BARRIDO;2;1021;1123;90,92%;SI;;;
41;HUILA;41206;COLOMBIA;BARRIDO;3;561;617;90,92%;SI;;;
70;SUCRE;70265;GUARANDA;BARRIDO;3;1733;1905;90,97%;SI;;;
08;ATLÁNTICO;8573;PUERTO COLOMBIA;BARRIDO;2;4830;5308;90,99%;SI;;;
15;BOYACÁ;15686;SANTANA;BARRIDO;3;981;1078;91,00%;SI;;;
19;CAUCA;19130;CAJIBÍO;BARRIDO;3;2058;2261;91,02%;SI;;;
05;ANTIOQUIA;5631;SABANETA;BARRIDO;2;3219;3535;91,06%;SI;;;
25;CUNDINAMARCA;25885;YACOPÍ;BARRIDO;2;978;1074;91,06%;SI;;;
05;ANTIOQUIA;5665;SAN PEDRO DE URABA;BARRIDO;2;2091;2296;91,07%;SI;;;
41;HUILA;41797;TESALIA;BARRIDO;3;1093;1200;91,08%;SI;;;
76;VALLE DEL CAUCA;76622;ROLDANILLO;BARRIDO;2;1992;2187;91,08%;SI;;;
05;ANTIOQUIA;5172;CHIGORODÓ;BARRIDO;2;3729;4094;91,08%;SI;;;
23;CÓRDOBA;23675;SAN BERNARDO DEL VIENTO;BARRIDO;3;564;619;91,11%;SI;;;
25;CUNDINAMARCA;25320;GUADUAS;BARRIDO;2;911;999;91,19%;SI;;;
25;CUNDINAMARCA;25878;VIOTÁ;BARRIDO;2;862;945;91,22%;SI;;;
41;HUILA;41524;PALERMO;BARRIDO;3;1714;1879;91,22%;SI;;;
54;NORTE DE SANTANDER;54051;ARBOLEDAS;BARRIDO;2;1557;1706;91,27%;SI;;;
76;VALLE DEL CAUCA;76606;RESTREPO;BARRIDO;2;691;757;91,28%;SI;;;
50;META;50686;SAN JUANITO;BARRIDO;2;199;218;91,28%;SI;;;
18;CAQUETÁ;18001;FLORENCIA;BARRIDO;3;13112;14357;91,33%;SI;;;
25;CUNDINAMARCA;25653;SAN CAYETANO;BARRIDO;2;359;393;91,35%;SI;;;
76;VALLE DEL CAUCA;76109;BUENAVENTURA;MIXTO;2;180;197;91,37%;SI;;;
15;BOYACÁ;15236;CHIVOR;BARRIDO;3;298;326;91,41%;SI;;;
76;VALLE DEL CAUCA;76892;YUMBO;BARRIDO;2;2504;2739;91,42%;SI;;;
50;META;50251;EL CASTILLO;BARRIDO;3;908;993;91,44%;SI;;;
70;SUCRE;70110;BUENAVISTA;BARRIDO;3;1635;1788;91,44%;SI;;;
05;ANTIOQUIA;5854;VALDIVIA;BARRIDO;2;462;505;91,49%;SI;;;
05;ANTIOQUIA;5642;SALGAR;BARRIDO;2;1699;1857;91,49%;SI;;;
54;NORTE DE SANTANDER;54480;MUTISCUA;BARRIDO;2;239;261;91,57%;SI;;;
66;RISARALDA;66170;DOSQUEBRADAS;BARRIDO;3;8103;8848;91,58%;SI;;;
05;ANTIOQUIA;5148;EL CARMEN DE VIBORAL;BARRIDO;2;802;875;91,66%;SI;;;
70;SUCRE;70717;SAN PEDRO;BARRIDO;3;1988;2167;91,74%;SI;;;
76;VALLE DEL CAUCA;76863;VERSALLES;BARRIDO;2;325;354;91,81%;SI;;;
73;TOLIMA;73585;PURIFICACIÓN;BARRIDO;3;1609;1752;91,84%;SI;;;
08;ATLÁNTICO;8685;SANTO TOMÁS;BARRIDO;2;2345;2553;91,85%;SI;;;
68;SANTANDER;68418;LOS SANTOS;BARRIDO;2;1252;1363;91,86%;SI;;;
05;ANTIOQUIA;5604;REMEDIOS;BARRIDO;2;1063;1157;91,88%;SI;;;
70;SUCRE;70429;MAJAGUAL;BARRIDO;3;2899;3154;91,92%;SI;;;
63;QUINDIO;63190;CIRCASIA;BARRIDO;3;2475;2692;91,94%;SI;;;
54;NORTE DE SANTANDER;54261;EL ZULIA;BARRIDO;2;2460;2674;92,00%;SI;;;
08;ATLÁNTICO;8549;PIOJÓ;BARRIDO;2;1548;1682;92,03%;SI;;;
76;VALLE DEL CAUCA;76248;EL CERRITO;BARRIDO;2;788;856;92,06%;SI;;;
54;NORTE DE SANTANDER;54871;VILLA CARO;BARRIDO;2;951;1033;92,06%;SI;;;
73;TOLIMA;73504;ORTEGA;BARRIDO;3;968;1051;92,10%;SI;;;
68;SANTANDER;68684;SAN JOSÉ DE MIRANDA;BARRIDO;2;456;495;92,12%;SI;;;
17;CALDAS;17444;MARQUETALIA;BARRIDO;3;1778;1930;92,12%;SI;;;
17;CALDAS;17433;MANZANARES;BARRIDO;3;960;1042;92,13%;SI;;;
85;CASANARE;85250;PAZ DE ARIPORO;MIXTO;3;645;700;92,14%;SI;;;
25;CUNDINAMARCA;25317;GUACHETÁ;BARRIDO;2;1733;1878;92,28%;SI;;;
